id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m,dispozice_skore,mesto,velke_mesto,mhd_dostupnost,cenove_pasmo
2358461260,Pronájem bytu 2+kk 30 m²,14800,"Spolupráce, Praha 4 - Nusle",50.055004,14.440545,30.0,sreality,238.0,682.3,121.5,331.4,97.7,3,Praha 4,1,0.122,1
3700638540,Pronájem bytu 1+kk 28 m²,16000,"Bratislavská, Brno - Zábrdovice",49.198544,16.616587,28.0,sreality,469.6,300.9,218.9,117.6,10.7,2,Brno,1,0.219,2
984818508,Pronájem bytu 2+kk 66 m²,34500,"Vinohradská, Praha 2 - Vinohrady",50.077911,14.437527,66.0,sreality,192.5,627.4,73.5,315.7,207.6,3,Praha 2,1,0.074,3
1645704012,Pronájem bytu 2+kk 81 m²,31500,"Pitterova, Praha 3 - Žižkov",50.08456,14.467167,81.0,sreality,856.0,625.8,149.4,53.6,137.5,3,Praha 3,1,0.149,3
291853132,Pronájem bytu 3+kk 83 m²,39000,"Petržílkova, Praha 5 - Stodůlky",50.051376,14.349218,83.0,sreality,152.0,187.4,153.5,100.1,140.5,4,Praha 5,1,0.154,3
2461487948,Pronájem bytu 2+kk 59 m²,17000,"Třída Jiřího Pelikána, Olomouc - Nová Ulice",49.59874,17.236618,59.0,sreality,603.0,582.7,58.6,535.4,413.5,3,Olomouc,0,0.059,2
1878549324,Pronájem bytu 1+kk 36 m²,14000,"Hlavní, Třebotov",49.974243,14.294682,36.0,sreality,230.1,277.8,142.9,2569.9,58.9,2,Třebotov,0,0.143,1
489952076,Pronájem bytu 3+kk 96 m²,30000,"Eliášova, Praha 6 - Bubeneč",50.099854,14.402481,96.0,sreality,201.7,537.5,74.4,216.5,24.4,4,Praha 6,1,0.074,3
509428556,Pronájem bytu 1+kk 35 m²,14000,"Na Vavřinci, Slaný",50.229542,14.093358,35.0,sreality,554.8,77.7,199.0,409.7,723.9,2,Slaný,0,0.199,1
3012772684,Pronájem bytu 2+kk 65 m²,21000,"Milotická, Praha 5 - Zličín",50.059601,14.2837,65.0,sreality,1893.8,456.3,328.0,743.4,236.6,3,Praha 5,1,0.328,2
2207466316,Pronájem bytu 2+1 52 m² (Jednopodlažní),23000,"K lučinám, Praha 3 - Žižkov",50.093391,14.489673,52.0,sreality,679.6,93.5,211.7,249.1,69.1,3,Praha 3,1,0.212,3
2172584780,Pronájem bytu 1+1 35 m²,13000,"Olbrachtovo náměstí, Brno - Komín",49.224754,16.5576,35.0,sreality,350.7,818.4,78.4,776.8,43.6,2,Brno,1,0.078,1
1888699212,Pronájem bytu 2+1 50 m² (Jednopodlažní),21000,Praha 7 - Holešovice,50.103653,14.438858,50.0,sreality,922.1,718.6,239.0,403.5,304.8,3,Praha 7,1,0.239,2
