id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
2358461260,Pronájem bytu 2+kk 30 m²,14800,"Spolupráce, Praha 4 - Nusle",50.055004,14.440545,,sreality,238.0,682.3,121.5,331.4,97.7
3700638540,Pronájem bytu 1+kk 28 m²,16000,"Bratislavská, Brno - Zábrdovice",49.198544,16.616587,,sreality,469.6,300.9,218.9,117.6,10.7
984818508,Pronájem bytu 2+kk 66 m²,34500,"Vinohradská, Praha 2 - Vinohrady",50.077911,14.437527,,sreality,192.5,627.4,73.5,315.7,207.6
1645704012,Pronájem bytu 2+kk 81 m²,31500,"Pitterova, Praha 3 - Žižkov",50.08456,14.467167,,sreality,856.0,625.8,149.4,53.6,137.5
291853132,Pronájem bytu 3+kk 83 m²,39000,"Petržílkova, Praha 5 - Stodůlky",50.051376,14.349218,,sreality,152.0,187.4,153.5,100.1,140.5
2461487948,Pronájem bytu 2+kk 59 m²,17000,"Třída Jiřího Pelikána, Olomouc - Nová Ulice",49.59874,17.236618,,sreality,603.0,582.7,58.6,535.4,413.5
1878549324,Pronájem bytu 1+kk 36 m²,14000,"Hlavní, Třebotov",49.974243,14.294682,,sreality,230.1,277.8,142.9,2569.9,58.9
489952076,Pronájem bytu 3+kk 96 m²,30000,"Eliášova, Praha 6 - Bubeneč",50.099854,14.402481,,sreality,201.7,537.5,74.4,216.5,24.4
509428556,Pronájem bytu 1+kk 35 m²,14000,"Na Vavřinci, Slaný",50.229542,14.093358,,sreality,554.8,77.7,199.0,409.7,723.9
3012772684,Pronájem bytu 2+kk 65 m²,21000,"Milotická, Praha 5 - Zličín",50.059601,14.2837,,sreality,1893.8,456.3,328.0,743.4,236.6
2207466316,Pronájem bytu 2+1 52 m² (Jednopodlažní),23000,"K lučinám, Praha 3 - Žižkov",50.093391,14.489673,,sreality,679.6,93.5,211.7,249.1,69.1
2172584780,Pronájem bytu 1+1 35 m²,13000,"Olbrachtovo náměstí, Brno - Komín",49.224754,16.5576,,sreality,350.7,818.4,78.4,776.8,43.6
1888699212,Pronájem bytu 2+1 50 m² (Jednopodlažní),21000,Praha 7 - Holešovice,50.103653,14.438858,,sreality,922.1,718.6,239.0,403.5,304.8
1083392844,Pronájem bytu 2+1 58 m² (Jednopodlažní),17500,"třída T. G. Masaryka, Mladá Boleslav - Mladá Boleslav III",50.412678,14.909828,,sreality,371.7,526.5,29.6,207.6,190.8
2425570124,Pronájem bytu 2+kk 1 784 m²,21500,"Nuselská, Praha 4 - Nusle",50.060863,14.448686,,sreality,513.9,286.4,30.5,33.6,97.4
3767747404,Pronájem bytu 3+kk 103 m²,19900,"Nádvorní, Liberec - Liberec VI-Rochlice",50.749004,15.065642,,sreality,1294.7,274.1,265.5,542.4,297.1
3216659276,Pronájem bytu 3+kk 135 m² (Jednopodlažní),37000,"Laudonova, Praha 10 - Štěrboholy",50.074043,14.550923,,sreality,3356.0,1809.9,236.9,619.9,587.5
831734604,Pronájem bytu 2+1 60 m²,13500,"Na Kopci, Karviná - Mizerov",49.854969,18.564726,,sreality,226.5,,142.8,1151.0,160.5
1375556428,Pronájem bytu 1+kk 27 m²,11000,"Jarmily Glazarové, Olomouc",49.608566,17.237835,,sreality,505.2,121.1,307.6,1349.5,446.5
1319138124,Pronájem bytu 2+kk 50 m²,14500,"Plzeňská, Králův Dvůr",49.94635,14.034703,,sreality,820.1,2710.6,32.2,118.7,63.5
3599975244,Pronájem bytu 2+kk 52 m² (Jednopodlažní),24000,"Jaromírova, Praha 2 - Nusle",50.064888,14.425387,,sreality,584.3,224.9,16.6,326.0,33.7
3501740876,Pronájem bytu 1+kk 30 m²,12000,"1. máje, Olomouc",49.596958,17.260817,,sreality,315.0,421.7,7.0,581.9,50.5
837944140,Pronájem bytu 2+kk 55 m²,17000,"Čapka Choda, Olomouc - Nová Ulice",49.596092,17.231142,,sreality,180.7,415.7,52.0,505.5,353.9
2543010636,Pronájem bytu 2+1 53 m²,13000,"Josefa Kotase, Ostrava - Hrabůvka",49.78207,18.255808,,sreality,159.9,169.4,136.2,246.1,174.1
76759884,Pronájem bytu 3+1 66 m² (Jednopodlažní),15000,"L. Janáčka, Studénka - Butovice",49.716797,18.053442,,sreality,513.8,102.2,306.4,1147.3,266.3
3701998412,Pronájem bytu 4+kk 260 m²,190000,"Laubova, Praha 3 - Vinohrady",50.07906,14.449754,,sreality,208.8,508.4,158.0,210.7,102.4
2241020748,Pronájem bytu 1+1 21 m²,10000,"Lidická, Pohořelice",48.980927,16.522532,,sreality,1252.6,3223.2,11.4,204.2,470.7
3583198028,Pronájem bytu 1+1 41 m²,9500,"U Nádraží, Rokytnice v Orlických horách",50.164116,16.465096,,sreality,296.6,300.4,148.9,,75.1
2710504268,Pronájem bytu 2+kk 49 m²,29990,"Hálkova, Praha 2 - Nové Město",50.076321,14.427882,,sreality,183.9,148.1,170.2,278.8,128.5
1250116428,Pronájem bytu 3+1 100 m² (Jednopodlažní),30000,"Slezská, Praha 2 - Vinohrady",50.076286,14.451951,,sreality,203.5,532.1,149.1,98.1,55.4
1911776076,Pronájem bytu 2+kk 49 m²,25600,"Šrobárova, Praha 10 - Vinohrady",50.075603,14.463659,,sreality,18.7,496.9,127.2,50.4,177.0
310985548,Pronájem bytu 2+kk 59 m² (Loft),25990,"Kolbenova, Praha 9 - Vysočany",50.11132,14.510686,,sreality,721.5,466.7,96.6,703.2,304.3
977597260,Pronájem bytu 1+kk 30 m²,18900,"Řipská, Praha 3 - Vinohrady",50.076958,14.452554,,sreality,176.1,447.5,120.8,160.6,30.9
1574196044,Pronájem bytu 1+kk 29 m²,15000,"Pelušková, Praha 9 - Kyje",50.108891,14.557946,,sreality,27.2,295.2,61.3,357.6,28.6
2044154700,Pronájem bytu 1+kk 33 m²,20900,"Waltariho, Praha 9 - Hloubětín",50.10833,14.524261,,sreality,850.7,457.0,289.5,953.3,575.2
3917693772,Pronájem bytu 2+1 60 m²,14000,"Cejpova, Hradec Králové - Malšovice",50.204384,15.861916,,sreality,955.6,564.3,177.1,1029.9,282.8
2699580236,Pronájem bytu 1+kk 22 m²,15000,"K Červenému vrchu, Praha 6 - Vokovice",50.097122,14.348569,,sreality,899.0,192.4,108.1,166.6,126.6
4270015308,Pronájem bytu 3+kk 85 m² (Mezonet),35000,"Čakovická, Praha - Praha 9",50.118641,14.513169,,sreality,936.8,832.1,211.1,895.1,584.0
