id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,photo_url,photo_path,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
sr_685486156,Pronájem bytu 2+kk 73 m²,34000,"Rohanské nábřeží, Praha 8 - Karlín",50.094341,14.44767,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWLrlaIVGRTUgj/b291.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_685486156.jpg,427.9,434.7,198.6,123.2,177.8
sr_3321381708,Pronájem bytu 2+1 70 m² (Jednopodlažní),24000,"Oldřichova, Praha 2 - Nusle",50.065807,14.425579,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/nCTUX1iX5CNPfpRqgGNAi6R/17ac.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3321381708.jpg,486.2,258.5,91.2,278.0,80.2
sr_4013666380,Pronájem bytu 1+1 42 m² (Jednopodlažní),13900,"Palackého, Přerov - Přerov I-Město",49.453186,17.448235,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtzYqGUFnGQtqhe/0a20.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4013666380.jpg,117.1,3167.9,13.1,130.7,189.6
sr_517713996,Pronájem bytu 4+1 130 m²,22500,"Masarykova, Ústí nad Labem - Ústí nad Labem-centrum",50.674015,14.017671,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtEBMvIVAWGRS2di/3607.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_517713996.jpg,732.8,809.1,142.5,212.2,131.6
sr_1756513100,Pronájem bytu 1+kk 33 m²,2800,"U Průhonu, Praha - Holešovice",50.105076,14.449461,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/kcHp2YdDtEBMvIKYVGLYiFE/14a5.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1756513100.jpg,418.2,387.2,39.2,50.5,78.8
sr_3202068556,Pronájem bytu 1+kk 38 m²,16500,"Podkovářská, Praha 9 - Vysočany",50.103306,14.512436,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtzYqGVbIGRS4VX/50a0.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3202068556.jpg,165.8,678.7,83.8,1141.7,162.7
sr_2396762188,Pronájem bytu 2+1 54 m²,15000,"Palackého, Mladá Boleslav - Mladá Boleslav II",50.425339,14.91356,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtzYqGVltGRTDNb/3a77.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2396762188.jpg,622.3,1566.2,122.1,142.9,84.9
sr_3738939468,Pronájem bytu 3+1 88 m² (Jednopodlažní),30000,"Bříšťanská, Praha 9 - Horní Počernice",50.106922,14.608291,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5Do9kXY92GRSpaE/cf0d.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_3738939468.jpg,696.7,761.2,153.8,746.4,312.4
sr_1339797580,Pronájem bytu 3+kk 78 m² (Podkrovní),17000,"Turinského, Hradec Králové - Pražské Předměstí",50.204769,15.813202,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtCDcb5UEnGRSnn0/3030.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1339797580.jpg,795.4,606.9,144.1,87.4,313.2
sr_4024152140,Pronájem bytu 1+kk 37 m²,13000,"Nepilova, Beroun - Beroun-Město",49.955734,14.045048,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5Do9kXY92GRSiWs/7184.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4024152140.jpg,774.1,1499.4,178.4,585.3,374.7
sr_1021030476,Pronájem bytu 2+1 50 m²,13500,"Přemyslovců, Louny",50.355965,13.789683,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CNPfpcW7GRScRU/52e3.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1021030476.jpg,1011.0,734.1,121.2,306.6,193.1
sr_2002150220,Pronájem bytu 1+kk 29 m²,16500,"Thomasova, Praha 5 - Třebonice",50.047417,14.298308,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/kY1K2LlXQCNqj2B0WF6LMKI/ba96.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2002150220.jpg,565.3,660.0,263.8,301.1,293.3
sr_424207180,Pronájem bytu 2+kk 82 m²,38000,"Maiselova, Praha 1 - Josefov",50.088791,14.418346,,sreality,"https://d18-a.sdn.cz/d_18/c_img_od_A/nO0bgvR9rXDb9A7EV7EPbh18/4679.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_424207180.jpg,312.9,579.2,85.4,341.9,44.5
sr_498287436,Pronájem bytu 2+kk 43 m²,18000,"Slovinská, Praha 10 - Vršovice",50.071606,14.459456,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_D/nCTUX1iX5CoHumMI9GKyPJB/4b0f.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_498287436.jpg,380.4,329.5,113.1,349.2,13.7
